Series Name:,Volumes:,Issues:
Batman,1;3;,1:691-693|703A;3:76A|77A|78B|79A|80A|81A|82A;
Batman: A Death in the Family,1;,1:TP-D;
Batman: Battle for the Cowl,1;,1:1A|2A|3A;
Batman: Cacophony,1;,1:1A|2A|3A;
Batman: Crimson Mist,1;,1:TP;
Batman: Curse of the White Knight,1;,1:1B;
Batman: Death and the Maidens,1;,1:1-9;
Batman: Earth One,1;,1:1A;
Batman: Legends of the Dark Knight,1;,1:59-63;
Batman: Masque,1;,1:1;
Batman: Shadow of the Bat,1;,1:1A|2-9|16-30;
Batman: Sword of Azrael,1;,1:1A|2A|3A|4A;
Batman: The 10 Cent Adventure,1;,1:1A;
Batman: The 12 Cent Adventure,1;,1:1;
Batman: The Dark Knight Returns,1;,1:1C|2C|3A|4;
Batman: The Killing Joke,1;,1:A;
Captain America,1;4-7;9;,1:701B|702B|703B|704B;4:1;5:16-17|22-24|25B|26-33|34A|35-40|41A|42-43|44A|45A|46A|47-49|50A|600B|601A|602|603A|604|605A|606A|607-608|609A|610|611A|612A|613A|614-615|615.1|616A|617A|618A|619A;6:1A|1F|1F|2|3A|4A|5|6A|7A|8-9|10A|11-12|13A|14-17|18A|19A;7:1A|2A|3A|4A|5A|6A|7|8A|9|11|12A|13-14|15A|17A|18A|19A|20;9:1A|2A|3A|4A|5A|6B|7A|8A|9A|10A|11B|12B|13C|14A|15A|15B;
Captain America and the Falcon,1-2;,1:1-9;2:1A
Captain America and...,1;,1:620A|621-625|626A|627-631|636|639;
Captain America Living Legend,1;,1:1A|2A|3A;
Captain America Reborn: Who Will Wield the Shield?,1;,1:1TP;
Captain America: Reborn,1;,1:1A|1C|2A|3A|4A|5A|6A;
Captain America: Theater of War - Operation Zero Point,1;,1:1;
Captain America: White,2;,2:1A|2A|3A|4A|5;
Infamous Iron Man,1;,1:1-6;
International Iron Man,1;,1:1-7;
Invincible Iron Man,1;,1:1-8;
Iron Man,1;,1:1-9;
Peter Parker: Spider-Man,2;,1:1-10;2:1-5;
Peter Parker: The Spectacular Spider-Man,1;,1:1-10;
Spider-Man,1;,1:1-11;
Spider-Man Unlimited,1;,1:1-12;
Superior Iron Man,1;,1:1-13;
Superior Spider-Man,1;,1:1-14;
The Adventures of Superman,1;,1:582|591|593-596|625A|626-627|629|642A;
The Adventures of Superman Annual,3;,3:1;
The Amazing Spider-Man,1;4-5;,1:3C|34|124A|166|185|190|193-195|200-205|208-210|212-218|220|222-224|226-227|230|232|234-248|251|252A|253-258|262|264|265A|266-268|271|276-278|280-283|287-290|293-294|296-299|300A|301A|302-331|333-344|346-350|362A|363|418|424-431|432A|433|434B|435-476|477A|478-508|509A|509B|510-524|525A|526A|527A|528A|529A|530-531|532A|533A|534-536|539A|601A;4:26A|791;5:1A|2A|3A|3B|4B|5A|6B|7A|8A|9I|10A|11A|12A|13A|14A|15A|16A|17A|18.HU|18A|19A|20A|21A|21C|22B|23A|23B|24A|25B|26A|27A|28B|29A|30A|33B;
The Amazing Spider-Man Annual,1;,1:14|16|18|20;
The Amazing Spider-Man: Going Big,1;,1:1B;
The Sensational Spider-Man,2;,1:1-10;2:1-12;
The Spectacular Spider-Man,2;,1:1-10;2:1-13;
Tony Stark: Iron Man,1;,1:1-10;
Ultimate Iron Man,1-2;,1:1-10;2:1-15;
Untold Tales of Spider-Man,1;,1:1-10;
Web of Spider-Man,2;,1:1-10;2:1-17;
Absolute Carnage: Symbiote Spider-Man,1;,1:1A;
The Amazing Spider-Man Presents Black Cat,1;,1:1A|2|4A;
